robot_count,completed_tasks,total_completion_time,average_task_completion_time,throughput,robot_utilization,average_waiting_time,total_distance,blocked_waiting_count,replication,seed
4,100,514,238.76,0.19455252918287938,0.9727626459143969,5.0,2000,20,83,1082
4,100,470,214.73,0.2127659574468085,0.9723404255319149,3.5,1828,14,84,1083
4,100,487,223.15,0.2053388090349076,0.9887063655030801,1.75,1926,7,85,1084
4,100,475,202.39,0.21052631578947367,0.966842105263158,3.0,1837,12,86,1085
4,100,465,205.62,0.21505376344086022,0.9763440860215054,3.0,1816,12,87,1086
4,100,482,213.44,0.2074688796680498,0.9719917012448133,2.0,1874,8,88,1087
4,100,515,225.3,0.1941747572815534,0.974757281553398,4.5,2008,18,89,1088
4,100,510,227.92,0.19607843137254902,0.967156862745098,2.75,1973,11,90,1089
4,100,465,204.01,0.21505376344086022,0.9715053763440861,1.5,1807,6,91,1090
4,100,512,229.81,0.1953125,0.9521484375,4.0,1950,16,92,1091
4,100,546,236.49,0.18315018315018314,0.9615384615384616,3.25,2100,13,93,1092
4,100,555,246.23,0.18018018018018017,0.959009009009009,1.75,2129,7,94,1093
4,100,525,233.48,0.19047619047619047,0.9814285714285714,2.5,2061,10,95,1094
4,100,498,234.66,0.20080321285140562,0.9633534136546185,3.0,1919,12,96,1095
4,100,514,232.48,0.19455252918287938,0.9815175097276264,0.5,2018,2,97,1096
4,100,515,221.81,0.1941747572815534,0.9752427184466019,3.5,2009,14,98,1097
4,100,540,243.65,0.18518518518518517,0.9861111111111112,2.0,2130,8,99,1098
4,100,470,206.38,0.2127659574468085,0.9611702127659575,1.75,1807,7,100,1099
6,100,341,156.08,0.2932551319648094,0.9550342130987293,4.0,1954,24,1,1000
6,100,349,166.25,0.28653295128939826,0.9646609360076409,3.5,2020,21,2,1001
6,100,353,152.33,0.28328611898017,0.9381491973559962,4.333333333333333,1987,26,3,1002
6,100,347,150.69,0.2881844380403458,0.9154658981748319,4.333333333333333,1906,26,4,1003
6,100,354,157.46,0.2824858757062147,0.9458568738229756,3.6666666666666665,2009,22,5,1004
6,100,348,154.37,0.28735632183908044,0.9487547892720306,4.333333333333333,1981,26,6,1005
6,100,329,137.1,0.303951367781155,0.9159067882472138,7.5,1808,45,7,1006
6,100,329,145.67,0.303951367781155,0.9564336372847011,5.5,1888,33,8,1007
6,100,340,152.19,0.29411764705882354,0.9122549019607843,4.666666666666667,1861,28,9,1008
6,100,353,154.77,0.28328611898017,0.9164305949008499,6.5,1941,39,10,1009
6,100,358,161.54,0.27932960893854747,0.9562383612662942,4.5,2054,27,11,1010
6,100,350,153.57,0.2857142857142857,0.9442857142857143,3.5,1983,21,12,1011
6,100,362,161.85,0.27624309392265195,0.9507366482504604,3.3333333333333335,2065,20,13,1012
6,100,355,153.22,0.28169014084507044,0.9460093896713615,4.666666666666667,2015,28,14,1013
6,100,349,154.77,0.28653295128939826,0.9570200573065902,2.8333333333333335,2004,17,15,1014
6,100,353,154.57,0.28328611898017,0.9442870632672332,3.8333333333333335,2000,23,16,1015
6,100,373,163.76,0.2680965147453083,0.9070598748882931,5.166666666666667,2030,31,17,1016
6,100,373,161.5,0.2680965147453083,0.9320822162645219,2.8333333333333335,2086,17,18,1017
6,100,359,155.84,0.2785515320334262,0.9257195914577531,5.5,1994,33,19,1018
6,100,349,149.24,0.28653295128939826,0.9317096466093601,4.5,1951,27,20,1019
